Program,Testcase,Memory
merge.c,9000000,76546048.0
quick2.c,9100000,39845888.0
merge.c,9100000,77594624.0
quick2.c,9200000,40370176.0
merge.c,9200000,78118912.0
quick2.c,9300000,40684748.8
merge.c,9300000,79167488.0
quick2.c,9400000,41104179.2
merge.c,9400000,79796633.6
quick2.c,9500000,41418752.0
merge.c,9500000,80530636.8
quick2.c,9600000,41838182.4
merge.c,9600000,81579212.8
quick2.c,9700000,42257612.8
merge.c,9700000,82418073.6
quick2.c,9800000,42677043.2
merge.c,9800000,83047219.2
quick2.c,9900000,43096473.6
merge.c,9900000,83886080.0
