Program,Testcase,Memory
selection.c,36700,3553000
insertion.c,36700,3617000
bubble.c,37200,3553000
selection.c,37200,3489000
insertion.c,37200,3569000
bubble.c,37700,3457000
selection.c,37700,3521000
insertion.c,37700,3617000
bubble.c,38200,3585000
selection.c,38200,3601000
insertion.c,38200,3809000
bubble.c,38700,3569000
selection.c,38700,3553000
insertion.c,38700,3521000
bubble.c,39200,3553000
selection.c,39200,3601000
insertion.c,39200,3569000
bubble.c,39700,3601000
selection.c,39700,3521000
insertion.c,39700,3569000
bubble.c,40200,3585000
selection.c,40200,3505000
insertion.c,40200,3569000
bubble.c,40700,3537000
selection.c,40700,3601000
insertion.c,40700,3569000
bubble.c,41200,3649000
selection.c,41200,3601000
insertion.c,41200,3649000
bubble.c,41700,3681000
selection.c,41700,3505000
insertion.c,41700,3633000
bubble.c,42200,3521000
selection.c,42200,3569000
insertion.c,42200,3681000
bubble.c,42700,3601000
selection.c,42700,3617000
insertion.c,42700,3569000
bubble.c,43200,3601000
selection.c,43200,3585000
insertion.c,43200,3537000
bubble.c,43700,3585000
selection.c,43700,3553000
insertion.c,43700,3569000
bubble.c,44200,3569000
selection.c,44200,3617000
insertion.c,44200,3617000
bubble.c,44700,3585000
selection.c,44700,3601000
insertion.c,44700,3585000
bubble.c,45200,3601000
selection.c,45200,3601000
insertion.c,45200,3617000
bubble.c,45700,3617000
selection.c,45700,3537000
insertion.c,45700,3617000
bubble.c,46200,3601000
selection.c,46200,3585000
insertion.c,46200,3665000
bubble.c,46700,3585000
selection.c,46700,3601000
insertion.c,46700,3569000
bubble.c,47200,3665000
selection.c,47200,3585000
insertion.c,47200,3601000
bubble.c,47700,3601000
selection.c,47700,3537000
insertion.c,47700,3601000
bubble.c,48200,3633000
selection.c,48200,3585000
insertion.c,48200,3585000
bubble.c,48700,3601000
selection.c,48700,3601000
insertion.c,48700,3553000
bubble.c,49200,3633000
selection.c,49200,3633000
insertion.c,49200,3553000
bubble.c,49700,3681000
selection.c,49700,3569000
insertion.c,49700,3569000
bubble.c,50200,3649000
selection.c,50200,3713000
insertion.c,50200,3649000
