Program,Testcase,Type,Iteration,Time,Program_Type
bubble.c,5800,reverse,1.5,145.58798074722273,bubble.c reverse
bubble.c,5800,sorted,1.5,107.82474279403688,bubble.c sorted
bubble.c,6000,random,0.5,150.830239057541,bubble.c random
bubble.c,6000,reverse,1.5,143.335998058319,bubble.c reverse
bubble.c,6000,sorted,1.5,120.04703283309951,bubble.c sorted
bubble.c,6200,random,0.5,179.01429533958424,bubble.c random
bubble.c,6200,reverse,1.5,158.93095731735252,bubble.c reverse
bubble.c,6200,sorted,1.5,135.73771715164176,bubble.c sorted
bubble.c,6400,random,0.5,169.00545358657837,bubble.c random
bubble.c,6400,reverse,1.5,178.3028841018675,bubble.c reverse
bubble.c,6400,sorted,1.5,127.51704454421976,bubble.c sorted
bubble.c,6600,random,0.5,203.12231779098514,bubble.c random
bubble.c,6600,reverse,1.5,153.84769439697274,bubble.c reverse
bubble.c,6600,sorted,1.5,116.82122945785525,bubble.c sorted
bubble.c,6800,random,0.5,176.20825767517087,bubble.c random
bubble.c,6800,reverse,1.5,174.8003363609315,bubble.c reverse
bubble.c,6800,sorted,1.5,156.436502933502,bubble.c sorted
bubble.c,7000,random,0.5,257.58701562881487,bubble.c random
bubble.c,7000,reverse,1.5,190.64068794250477,bubble.c reverse
bubble.c,7000,sorted,1.5,129.8482418060305,bubble.c sorted
bubble.c,7200,random,0.5,252.70500779151914,bubble.c random
bubble.c,7200,reverse,1.5,211.24726533889776,bubble.c reverse
bubble.c,7200,sorted,1.5,165.20327329635626,bubble.c sorted
bubble.c,7400,random,0.5,216.958522796631,bubble.c random
bubble.c,7400,reverse,1.5,196.7238783836365,bubble.c reverse
bubble.c,7400,sorted,1.5,193.41391324996926,bubble.c sorted
bubble.c,7600,random,0.5,205.48006892204288,bubble.c random
bubble.c,7600,reverse,1.5,197.751224040985,bubble.c reverse
bubble.c,7600,sorted,1.5,173.1491684913635,bubble.c sorted
bubble.c,7800,random,0.5,227.67910361289975,bubble.c random
bubble.c,7800,reverse,1.5,197.46905565261875,bubble.c reverse
bubble.c,7800,sorted,1.5,162.9124879837035,bubble.c sorted
bubble.c,8000,random,0.5,271.48735523223877,bubble.c random
bubble.c,8000,reverse,1.5,215.71540832519526,bubble.c reverse
bubble.c,8000,sorted,1.5,169.17818784713722,bubble.c sorted
bubble.c,8200,random,0.5,244.73285675048825,bubble.c random
bubble.c,8200,reverse,1.5,208.40781927108748,bubble.c reverse
bubble.c,8200,sorted,1.5,145.07675170898426,bubble.c sorted
bubble.c,8400,random,0.5,259.1513693332671,bubble.c random
bubble.c,8400,reverse,1.5,221.02874517440802,bubble.c reverse
bubble.c,8400,sorted,1.5,153.50949764251726,bubble.c sorted
bubble.c,8600,random,0.5,257.191300392151,bubble.c random
bubble.c,8600,reverse,1.5,240.231990814209,bubble.c reverse
bubble.c,8600,sorted,1.5,170.24183273315424,bubble.c sorted
bubble.c,8800,random,0.5,303.22912335395813,bubble.c random
bubble.c,8800,reverse,1.5,229.44819927215573,bubble.c reverse
bubble.c,8800,sorted,1.5,167.74022579193127,bubble.c sorted
bubble.c,9000,random,0.5,293.34539175033575,bubble.c random
bubble.c,9000,reverse,1.5,287.53304481506376,bubble.c reverse
bubble.c,9000,sorted,1.5,177.233695983887,bubble.c sorted
bubble.c,9200,random,0.5,304.0923476219177,bubble.c random
bubble.c,9200,reverse,1.5,260.417342185974,bubble.c reverse
bubble.c,9200,sorted,1.5,220.81410884857175,bubble.c sorted
bubble.c,9400,random,0.5,329.4714987277985,bubble.c random
bubble.c,9400,reverse,1.5,272.391200065613,bubble.c reverse
bubble.c,9400,sorted,1.5,208.73367786407476,bubble.c sorted
bubble.c,9600,random,0.5,302.12223529815674,bubble.c random
bubble.c,9600,reverse,1.5,271.84271812439,bubble.c reverse
